talk_id	title	detail	date	begintime	endtime	viewno	bookmarkno	emailno	biological_science	computer_science	general_interest	education	engineering	geosciences	math_physics	social_science	health_sciences	arts_humanities	business_industry	law	chemistry
10445	webcast ruby rails performance optimize	alexander dymo discuss make ruby rails application slow make fast steps optimize performance alexander dymo alexander dymo entrepreneur combinator alum software executive free software developer alex author ruby performance optimize	8/2/16 0:00	8/2/16 13:00	8/2/16 14:00	51	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
10446	webcast practical color theory people code	simple pick color palette thing scare developer dive design design decision expose critic colors clash compile throw error test failing amazing developer clam time make design decision defer creative design natalya shelburne break color theory basics developer abstract domain knowledge artist variable function share demystify design decision revealing logical predictable driven principles learn natalya explore wavelength fine resources code code code talk colors make science question include make improve accessible intentional color call action buttons warm color orange website green color scheme troublesome design equal parts green blue orange highlight tops buttons colors good color good color picker site white space make things sass variable color function awesome tool developer natalya shelburne natalya shelburne classical train fine artist spent years lecture teaching people paint draw grow creativity realize renaissance fact end natalya decided join modern world frontend developer love writing code love painting convince world writing form natalya hold degree developmental psychology degree creativity talent development combine disparate field weave interesting fact brains work learn develop talks apply design theory knowledge infinite canvas internet writing code natalya paints teach drink coffee	8/11/16 0:00	8/11/16 13:00	8/11/16 14:00	104	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0
10447	webcast scale jenkin docker apache meso	taking advantage apache meso jenkin platform dynamic scale job hundred jenkin master docker container distribute meso cluster jenkin slave dynamic create base load container distribute multiple host isolate execution carlos sanchez shares experience running jenkin scale docker apache meso create biggest jenkin cluster date carlos guide attendee understanding apache meso explore challenge running docker containerize distribute application case carlos sanchez carlos sanchez specialize software automation build tool continuous delivery devop philosophy carlos works cloudbee scale jenkin platform involved open source years member open source group contribute project including jenkin apache maven puppet carlos spoken conference world apachecon javaone fosdem	8/16/16 0:00	8/16/16 13:00	8/16/16 14:00	100	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
10448	webcast told microservice	drawing case gonzalo maldonado outline rails organic grow microservice architecture gonzalo explain pattern emerge start add rails engine team implement trick tool disposal gonzalo maldonado gonzalo maldonado hack device stumble days computer green screen apple raspberry device distribute ruby system ruby concurrent gonzalo manage tame system create software make people happy lead engineer consultancy specialize helping company build maintain scale system	8/30/16 0:00	8/30/16 13:00	8/30/16 14:00	20	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
10458	evolve critical system	increasingly software considered critical business functional support upgrade software expensive risky primarily software design built ease change expertise tool methodology support design implement software system evolve risk failure loss quality essential address research agenda building software system highly reliable retain reliability evolve time illustrate complex domain space exploration speaker mike hinchey director lero professor software engineering university limerick mike hinchey director lero ireland software research centre national research center base institution including university professor software engineering university limerick ireland points hinchey held full professor visiting position germany sweden japan australia prior join lero hinchey director nasa software engineering laboratory award 2009 nasa kerley award innovate year holder patent books papers aspect computer science software engineering hinchey hold computer science university limerick computation university oxford computer science university cambridge international federation information process ifip ieee ireland section moderator stephen ibaraki chair professional development committee member practitioner board history senior executive leadership role significant global contribution award recognition stephen ibaraki world canada multiple award winning serial entrepreneur executive board chairman role include stephen founder chairman technology advisory council service roundtable ceo financial service trillion manage asset trillion annual revenue fintech idea festival found chairman global industry council part united nation unesco found international federation information process ifip board ifip international professional practice partnership ifip international steer committee advisory board ifip world forum 2012 2014 addition stephen advise global fortune company government strategy technology received numerous award accolade organization company found manage partner redd venture investment partner add detail found canada information process society found fellow profile judge appreneur scholar award held international year podcaster notable interview compute educator oral history project learning center	8/2/16 0:00	8/2/16 12:00	8/2/16 13:00	139	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10459	dissertation defense model time switch fabric frame integrity	abstract network attract significant attention promise provide significant advantage electronic network advantage achieve absence optical process optical random access memory switch fabric propose past propose switch fabric lack control algorithm operate dissertation multiple control algorithm propose previous propose switch fabric claim switch fabric propose control algorithm implement switch timeslot switch fabric switch timeslot time domain switch fabric switch timeslot domain switch fabric characterize active fiber delay lines frame integrity constraint motivation dissertation validate claim validate result promising optical transport network data center	8/25/16 0:00	8/25/16 11:00	8/25/16 13:00	44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10464	scale learning distribution	abstract wide range machine learning problem including astronomical inference galaxy cluster natural image scene classification parametric statistic inference prediction public opinion successful tackle learning function sample distribution effective class technique kernel method apply method large dataset computation challenging typical method quadratic cubic time storage number input sample talk present method approximate embed euclidean space approximate class kernel distribution learning time space linear number input present improve analysis workhorse tool area random fourier features rahimi recht show variant approach common usage strict showing method learning distribution maximum discrepancy give class distribution embed machine learning large dataset total variation hellinger distance expand model option problem theoretical empirical result base joint work junier oliva barnabas poczo jeff schneider present partial fulfillment speak skill requirement poster keyword information contact	8/2/16 0:00	8/2/16 13:00	8/2/16 14:00	37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10465	foster public good contribution symbolic award field experiment wikipedia	natural field experiment test effects purely symbolic award volunteer retention public goods context experiment conduct wikipedia face decline editor retention rate newcomer random assure award receipt orthogonal previous performance analysis reveal award sizeable effect newcomer retention persist quarters initial intervention noteworthy indicate award volunteer effective impact volunteer future career opportunity award purely symbolic status increment produce limited recipient pseudonymous online identity community recently join result explain enhance community line recent finding role status reputation recognition evaluate potential online community	9/1/16 0:00	9/1/16 12:00	9/1/16 13:15	45	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0
10466	repeated interaction social tie quantify economic trust forgiveness reputation field experiment	grow importance online social network fertile ground research seek gain deep understanding fundamental construct human behavior trust forgiveness linkage social tie field experiment data facebook measure social tie connect subject separate instrumental trust static intrinsic trust show level instrumental trust forgiveness effect forgiveness deter future defection crucial depend strength social tie find level trust social repeated play greater level trust anonymous repeated play turn greater level trust anonymous shot games uncover forgiveness mechanism facilitate cooperative equilibrium stable presence social tie trade partner social connected equilibrium return original cooperative small disturbance	9/2/16 0:00	9/2/16 12:00	9/2/16 13:00	57	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
10471	pool dedicated system design service network	abstract pool dedicated system design service network abstract counter common wisdom resource pool achieve optimum system performance maximize service utilize show system pool server outperforme model dedicated server good control policy implement specifically overload model poisson arrival process queue parallel dedicated server exponential service abandon times control policy derive convenient fluid diffusion limit state space collapse limit provide effective approximation performance function showing model achieve higher service level pool model meet target show few server need queue quantify relative reduction service capacity result suggest apply resource pool service system call center yunan assistant professor industrial system engineering department associate faculty member operation research center north carolina state university research interests include queue theory stochastic model applied probability simulation application service system including call center healthcare manufacture system received operation research columbia university electrical engineering tsinghua university	8/16/16 0:00	8/16/16 13:00	8/16/16 15:00	29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
10472	thesis defense digital system experience legacy support meaningful interaction multigenerational data	abstract people generate vast quantity digital information product interaction digital system people information grow scale increasingly distribute account identity service research studied develop tool people manage derive meaning forward issue acquire complexity considered context information generate life generation lens multigenerational timeframe elicit question people engage heterogeneous collection information future generation manage make sense information left ancestor prior work examine people perceive role system play available management interpretation digital information work demonstrate people ascribe meaning aspect digital information held largely uncurated digital material clear digital information transmit interpret maintain future generation building early work dissertation work investigate develop system foster engagement lifetime generation digital information ways sensitive people define communicate identity reflect life experience addition work highlight ways people engage memory artifact experience people pass consider digital system information support practice work contribute understanding digital system digital information people create lives intersect process death die remembrance thesis committee jodi forlizzi aisle kelliher virginia tech laura dabbish cosley cornell university poster event website keyword hcii information contact	8/19/16 0:00	8/19/16 13:30	8/19/16 14:30	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10474	ddo attack school network rise	deliberate target cyberattack rise cripple network result significant loss instruction time education market immune distribute denial service ddo attack gartner note attack sophisticated difficult detect hacktivist cyberterrorist unlimited array tool prevent access network including layer target attack attack join presentation hear steps school proactive protect network unknown attack attack david parisie years experience technical sales prior coming fortinet work coyote point system director customer relations presale engineer director customer relations responsible manage operation support team address customer satisfaction issue acting presale engineer involved product demonstration product install coyote point system acquire fortinet march 2013 fortinet david consulting system engineer focus sell support fortiddo fortiadc fortidirector	8/30/16 0:00	8/30/16 12:00	8/30/16 13:00	51	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
10475	ecology pantanal bodoquena plateau southwestern brazil	heard pantanal ecosystem considered equivalent everglades south america largest tropical wetland pantanal located brazil bolivia features global unique assemblage flora fauna elaine corrêa student ecology conservation universidade federal mato grosso brazil visiting scholar falk school sustain grew pantanal region give discussion ecology unique ecosystem discuss environmental science conduct pantanal surrounding area lecture feature highlight field work overview general ecological attribute area accompany sample brazil cuisine	8/2/16 0:00	8/2/16 18:00	8/2/16 19:00	76	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
10476	life wildlife biologist	wonder career wildlife biology attend talk jamie wildlife biologist idaho department fish game discuss job career study soft coral coral triangle indonesia tree frog panama rainforest	8/5/16 0:00	8/5/16 18:00	8/5/16 19:00	106	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
